Unnamed: 0,Gene,Paralog,Perc_ID,FC2,Base_Mean,padj,KO_FC2,significant,upreg,dataset,ko_length,paralog_length,Percent Upregulated,pctUpreg_p_value,Gene-Paralog
0,RhoC,RHOB,84.1837,0.3085748044853008,7477.196639943465,0.752119852647367,,0,0,GSE175787-2,6307.0,2366.0,0.0,1.0,RhoC-RHOB
19,RhoC,RHOG,54.4503,-0.173206518709559,1237.9351473600395,0.7610536249921864,,0,0,GSE175787-2,6307.0,13981.0,0.0,1.0,RhoC-RHOG
18,RhoC,RHOBTB2,10.729,-0.3923827095820073,1311.7632468009924,0.6521880909603265,,0,0,GSE175787-2,6307.0,33092.0,0.0,1.0,RhoC-RHOBTB2
17,RhoC,RHOT2,11.9741,0.4537335188914122,5913.694079459919,0.5808133141739198,,0,0,GSE175787-2,6307.0,6074.0,0.0,1.0,RhoC-RHOT2
16,RhoC,RND2,39.2071,0.3311288942341677,173.07678829531392,0.6922207392630738,,0,0,GSE175787-2,6307.0,6810.0,0.0,1.0,RhoC-RND2
15,RhoC,RHOBTB3,12.766,-0.7691639363737345,20601.70415143812,0.0413745108796168,,1,0,GSE175787-2,6307.0,110861.0,0.0,1.0,RhoC-RHOBTB3
14,RhoC,RAC3,55.7292,-0.6823161490046155,766.8970195132345,0.2400262517572269,,0,0,GSE175787-2,6307.0,2526.0,0.0,1.0,RhoC-RAC3
13,RhoC,RAC1,58.3333,-0.0934184132353191,33496.40001237261,0.9543243402566904,,0,0,GSE175787-2,6307.0,29440.0,0.0,1.0,RhoC-RAC1
12,RhoC,RHOF,45.4976,-1.4269518745671816,2353.1570047883683,0.0016737152126847,,1,0,GSE175787-2,6307.0,25649.0,0.0,1.0,RhoC-RHOF
11,RhoC,RHOU,34.8837,-0.4553288272189963,1366.6468387149448,0.8445824260643049,,0,0,GSE175787-2,6307.0,11185.0,0.0,1.0,RhoC-RHOU
10,RhoC,RND1,35.3448,-0.5262352103141357,783.5658043508649,0.7892261112269187,,0,0,GSE175787-2,6307.0,8725.0,0.0,1.0,RhoC-RND1
9,RhoC,RHOH,40.8377,0.4267362478376707,88.12156658735219,0.9028861219848546,,0,0,GSE175787-2,6307.0,55956.0,0.0,1.0,RhoC-RHOH
8,RhoC,RHOBTB1,11.2069,0.5454153382171657,1136.265125261002,0.7165770877906181,,0,0,GSE175787-2,6307.0,132002.0,0.0,1.0,RhoC-RHOBTB1
7,RhoC,RHOT1,10.6222,-0.0062250426000345,1157.167216897492,0.9964666587661494,,0,0,GSE175787-2,6307.0,110920.0,0.0,1.0,RhoC-RHOT1
6,RhoC,RND3,38.1148,-0.7860477264949769,5325.171355126711,0.8604146825035409,,0,0,GSE175787-2,6307.0,70816.0,0.0,1.0,RhoC-RND3
