Unnamed: 0,Gene,Paralog,Perc_ID,FC2,Base_Mean,padj,KO_FC2,significant,upreg,dataset,ko_length,paralog_length,Percent Upregulated,pctUpreg_p_value
0,RhoC,RHOB,84.1837,-0.0413907591739649,1307.0761498819395,0.8675065705332727,,0,0,GSE175787-3,6307.0,2366.0,0.1363636363636363,0.5546
19,RhoC,RHOG,54.4503,-0.0147849274318774,6067.702846371185,0.9509811564654252,,0,0,GSE175787-3,6307.0,13981.0,0.1363636363636363,0.5546
18,RhoC,RHOBTB2,10.729,0.4108549341856141,1847.4503512339863,0.0036475529663755,,1,0,GSE175787-3,6307.0,33092.0,0.1363636363636363,0.5546
17,RhoC,RHOT2,11.9741,0.3769997176669369,4265.08034278837,0.0015417869194798,,1,0,GSE175787-3,6307.0,6074.0,0.1363636363636363,0.5546
16,RhoC,RND2,39.2071,0.0236853466851551,7.773732640172555,0.9881693974012774,,0,0,GSE175787-3,6307.0,6810.0,0.1363636363636363,0.5546
15,RhoC,RHOBTB3,12.766,-0.2225182824240734,19879.81239146006,0.1641090486523477,,0,0,GSE175787-3,6307.0,110861.0,0.1363636363636363,0.5546
14,RhoC,RAC3,55.7292,2.056533217797368,831.3486509520425,2.820957950137756e-53,,1,1,GSE175787-3,6307.0,2526.0,0.1363636363636363,0.5546
13,RhoC,RAC1,58.3333,-0.4454062413181034,30136.031795162948,1.6478620695601004e-06,,1,0,GSE175787-3,6307.0,29440.0,0.1363636363636363,0.5546
12,RhoC,RHOF,45.4976,0.1657129474038983,2389.5049106392253,0.1432379190469128,,0,0,GSE175787-3,6307.0,25649.0,0.1363636363636363,0.5546
11,RhoC,RHOU,34.8837,1.2900852647087364,541.2537140954471,1.193557115679373e-20,,1,1,GSE175787-3,6307.0,11185.0,0.1363636363636363,0.5546
10,RhoC,RND1,35.3448,0.4232322935914988,50.28424864064122,0.4531925006453822,,0,0,GSE175787-3,6307.0,8725.0,0.1363636363636363,0.5546
9,RhoC,RHOH,40.8377,0.729087254865299,10.195975293302103,0.5306557371335326,,0,0,GSE175787-3,6307.0,55956.0,0.1363636363636363,0.5546
8,RhoC,RHOBTB1,11.2069,1.39170260802566,696.3938469164771,1.6376882730630053e-07,,1,1,GSE175787-3,6307.0,132002.0,0.1363636363636363,0.5546
7,RhoC,RHOT1,10.6222,0.0693983135119717,2318.8168011395355,0.6122471985242663,,0,0,GSE175787-3,6307.0,110920.0,0.1363636363636363,0.5546
6,RhoC,RND3,38.1148,0.4023876486456047,7809.112196384751,0.0133604877742137,,1,0,GSE175787-3,6307.0,70816.0,0.1363636363636363,0.5546
5,RhoC,RHOQ,48.2927,0.0785490168260062,2839.7169197363182,0.6617691959665647,,0,0,GSE175787-3,6307.0,42882.0,0.1363636363636363,0.5546
4,RhoC,RHOJ,43.4579,-1.4144347032118163,105.96900992080724,0.0012713499893171,,1,0,GSE175787-3,6307.0,89394.0,0.1363636363636363,0.5546
3,RhoC,CDC42,52.8796,-0.2972272634148472,28065.943272936787,0.0168602506679109,,1,0,GSE175787-3,6307.0,48733.0,0.1363636363636363,0.5546
2,RhoC,RHOD,45.7143,-1.1024463306807526,1038.1820157123211,1.1987884512576795e-14,,1,0,GSE175787-3,6307.0,15170.0,0.1363636363636363,0.5546
1,RhoC,RHOA,91.7098,-0.1375749194678239,55221.8492174166,0.3790174508461771,,0,0,GSE175787-3,6307.0,53859.0,0.1363636363636363,0.5546
20,RhoC,RAC2,55.2083,-0.6090113819395558,11137.348282119076,0.0006701832845257,,1,0,GSE175787-3,6307.0,34324.0,0.1363636363636363,0.5546
21,RhoC,RHOV,33.8983,0.2181243062235929,55.1820685420988,0.5812541002014483,,0,0,GSE175787-3,6307.0,2020.0,0.1363636363636363,0.5546
0,RhoC,RHOB,84.1837,0.3085748044853008,7477.196639943465,0.752119852647367,,0,0,GSE175787-2,6307.0,2366.0,0.0,1.0
19,RhoC,RHOG,54.4503,-0.173206518709559,1237.9351473600395,0.7610536249921864,,0,0,GSE175787-2,6307.0,13981.0,0.0,1.0
18,RhoC,RHOBTB2,10.729,-0.3923827095820073,1311.7632468009924,0.6521880909603265,,0,0,GSE175787-2,6307.0,33092.0,0.0,1.0
17,RhoC,RHOT2,11.9741,0.4537335188914122,5913.694079459919,0.5808133141739198,,0,0,GSE175787-2,6307.0,6074.0,0.0,1.0
16,RhoC,RND2,39.2071,0.3311288942341677,173.07678829531392,0.6922207392630738,,0,0,GSE175787-2,6307.0,6810.0,0.0,1.0
15,RhoC,RHOBTB3,12.766,-0.7691639363737345,20601.70415143812,0.0413745108796168,,1,0,GSE175787-2,6307.0,110861.0,0.0,1.0
14,RhoC,RAC3,55.7292,-0.6823161490046155,766.8970195132345,0.2400262517572269,,0,0,GSE175787-2,6307.0,2526.0,0.0,1.0
13,RhoC,RAC1,58.3333,-0.0934184132353191,33496.40001237261,0.9543243402566904,,0,0,GSE175787-2,6307.0,29440.0,0.0,1.0
