,Gene,Paralog,Perc_ID,ko_length,paralog_length
0,TLR4,TLR7,18.3985,20560,23289
1,TLR4,VASN,15.899,20560,11690
2,TLR4,IGFALS,21.3223,20560,4558
3,TLR4,LRRC17,17.2336,20560,32111
4,TLR4,TLR8,18.5399,20560,16549
5,TLR4,LRRC3,18.2879,20560,6686
6,TLR4,LRRC3C,21.4545,20560,17267
7,TLR4,LRRC3B,17.3745,20560,94765
8,TLR4,NRROS,17.9191,20560,22310
9,TLR4,TLR10,20.2219,20560,10752
10,TLR4,TLR3,19.5796,20560,19162
11,TLR4,TLR5,20.3963,20560,33844
12,TLR4,TSKU,21.2465,20560,15902
13,TLR4,RXFP2,13.5279,20560,63863
14,TLR4,TLR2,24.1071,20560,22190
15,TLR4,LRRC32,20.0906,20560,13223
16,TLR4,TLR1,19.7201,20560,66140
17,TLR4,LRIT2,16.0,20560,4973
18,TLR4,RXFP1,14.7952,20560,338061
19,TLR4,LRRC53,6.09463,20560,43235
20,TLR4,TLR6,19.7236,20560,33920
21,TLR4,CD180,27.534,20560,17186
