,Gene,Paralog,Perc_ID,ko_length,paralog_length
0,LCK,JAK3,14.2349,34921,23291
1,LCK,FGR,51.7958,34921,23121
2,LCK,FRK,45.9406,34921,129742
3,LCK,JAK1,14.2981,34921,234531
4,LCK,SRC,51.306,34921,61365
5,LCK,TEC,27.8922,34921,134055
6,LCK,FER,19.9513,34921,449000
7,LCK,LYN,63.8672,34921,134334
8,LCK,FYN,55.3073,34921,213120
9,LCK,TYK2,13.5636,34921,30075
10,LCK,ZAP70,23.748,34921,26286
11,LCK,TXK,32.6376,34921,67857
12,LCK,BMX,23.7037,34921,92283
13,LCK,STYK1,23.4597,34921,55395
14,LCK,PTK6,41.02,34921,9375
15,LCK,HCK,63.6882,34921,49659
16,LCK,FES,20.438,34921,12081
17,LCK,PTK2,12.865,34921,344316
18,LCK,ABL1,18.5841,34921,174632
19,LCK,ABL2,18.1049,34921,130354
20,LCK,BTK,27.1624,34921,41458
21,LCK,CSK,40.0,34921,21117
22,LCK,TNK1,17.5492,34921,9240
23,LCK,BLK,60.9901,34921,77705
24,LCK,SRMS,41.3934,34921,9260
25,LCK,SYK,24.7244,34921,96762
26,LCK,PTK2B,14.2716,34921,147909
27,LCK,JAK2,13.6926,34921,145558
28,LCK,ITK,27.4194,34921,112252
29,LCK,MATK,33.5306,34921,24159
30,LCK,YES1,52.302,34921,90958
31,LCK,TNK2,12.891,34921,48581
32,LAT,SPNS3,50.7812,5958,54268
33,LAT,SPNS2,48.2696,5958,40154
34,DOK2,DOK1,29.9376,4817,8525
35,DOK2,FRS2,12.4016,4817,109444
36,DOK2,DOK4,23.0061,4817,15405
37,DOK2,DOK5,21.8954,4817,175576
38,DOK2,FRS3,13.0081,4817,16366
39,DOK2,DOK3,29.5455,4817,9370
40,DOK2,DOK6,20.2417,4817,448199
41,PTPN6,PTPRZ1,6.82505,14848,188947
42,PTPN6,PTPN20,23.3333,14848,91092
43,PTPN6,PTPN13,5.71429,14848,220856
44,PTPN6,PTPN14,11.2047,14848,203749
45,PTPN6,PTPRK,12.2222,14848,551831
46,PTPN6,PTPN2,24.3373,14848,144165
47,PTPN6,PTPN9,20.4047,14848,116064
48,PTPN6,PTPN12,15.0,14848,102774
49,PTPN6,PTPN5,21.0619,14848,64793
50,PTPN6,PTPN21,10.7325,14848,89229
51,PTPN6,PTPN4,13.7149,14848,224977
52,PTPN6,PTPRM,11.5358,14848,840079
53,PTPN6,PTPN1,23.908,14848,74920
54,PTPN6,PTPRO,10.9375,14848,279918
55,PTPN6,PTPN11,54.6374,14848,91567
56,PTPN6,PTPRC,10.1838,14848,119019
57,PTPN6,PTPN18,23.6957,14848,19360
58,PTPN6,PTPRE,18.0,14848,178752
59,PTPN6,PTPRH,11.3901,14848,28259
60,PTPN6,PTPRB,6.63657,14848,121570
61,PTPN6,PTPN23,7.39609,14848,32424
62,PTPN6,PTPN3,13.034,14848,122847
63,PTPN6,PTPN22,14.0025,14848,57942
64,PTPN6,PTPN7,28.8889,14848,14575
65,PTPN6,PTPRN2,12.1182,14848,1048767
66,PTPN6,PTPRN,12.1553,14848,20025
67,PTPN6,PTPRT,11.9362,14848,1117218
68,PTPN6,PTPRR,18.7215,14848,282665
69,PTPN6,PTPRU,10.5153,14848,90297
70,PTPN6,PTPRF,8.91453,14848,98479
71,PTPN6,PTPRJ,10.0972,14848,190414
72,PTPN6,PTPRS,9.13758,14848,182317
73,PTPN6,PTPRD,9.04812,14848,2298756
74,PTPN6,PTPRG,10.7958,14848,736040
75,PTPN6,PTPRA,16.5835,14848,165656
76,PTPN11,PTPRZ1,7.34341,91567,188947
77,PTPN11,PTPN20,23.5714,91567,91092
78,PTPN11,PTPN13,5.87525,91567,220856
79,PTPN11,PTPN14,10.8677,91567,203749
80,PTPN11,PTPRK,12.9167,91567,551831
81,PTPN11,PTPN2,25.5422,91567,144165
82,PTPN11,PTPN9,21.0793,91567,116064
83,PTPN11,PTPN12,14.8718,91567,102774
84,PTPN11,PTPN5,22.4779,91567,64793
85,PTPN11,PTPN21,10.9029,91567,89229
86,PTPN11,PTPN4,14.4708,91567,224977
87,PTPN11,PTPRM,12.0819,91567,840079
88,PTPN11,PTPN1,24.5977,91567,74920
89,PTPN11,PTPRO,10.773,91567,279918
90,PTPN11,PTPRC,10.9495,91567,119019
91,PTPN11,PTPN18,23.2609,91567,19360
92,PTPN11,PTPRE,21.8571,91567,178752
93,PTPN11,PTPRH,12.287,91567,28259
94,PTPN11,PTPRB,6.99774,91567,121570
95,PTPN11,PTPN23,8.37408,91567,32424
96,PTPN11,PTPN3,14.2388,91567,122847
97,PTPN11,PTPN22,13.6307,91567,57942
98,PTPN11,PTPN7,31.1111,91567,14575
99,PTPN11,PTPRN2,12.7094,91567,1048767
100,PTPN11,PTPRN,12.4617,91567,20025
101,PTPN11,PTPRT,12.1443,91567,1117218
102,PTPN11,PTPRR,19.0259,91567,282665
103,PTPN11,PTPRU,11.0028,91567,90297
104,PTPN11,PTPRF,9.7011,91567,98479
105,PTPN11,PTPRJ,10.6208,91567,190414
106,PTPN11,PTPRS,10.1129,91567,182317
107,PTPN11,PTPRD,9.98954,91567,2298756
108,PTPN11,PTPRG,11.2803,91567,736040
109,PTPN11,PTPRA,18.8279,91567,165656
110,PTPN11,PTPN6,54.4538,91567,14848
111,JUN,JUNB,46.6859,7203,1829
112,JUN,JUND,51.8732,7203,1928
113,JUND,JUNB,43.5159,1928,1829
114,JUND,JUN,54.3807,1928,7203
115,FOS,JDP2,38.0368,3404,46395
116,FOS,ATF3,29.2818,3404,55443
117,FOS,BATF3,29.9213,3404,13423
118,FOS,FOSB,44.6746,3404,7184
119,FOS,BATF,31.2,3404,24538
120,FOS,FOSL1,48.7085,3404,8524
121,FOS,FOSL2,45.092,3404,24869
122,FOS,BATF2,17.1533,3404,9073
123,EGR1,EGR2,38.6555,3824,7171
124,EGR1,WT1,20.1149,3824,47789
125,EGR1,EGR4,24.8971,3824,2772
126,EGR1,EGR3,49.0956,3824,5821
127,EGR2,WT1,19.1571,7171,47789
128,EGR2,EGR1,33.8858,7171,3824
129,EGR2,EGR4,25.5144,7171,2772
130,EGR2,EGR3,52.9716,7171,5821
131,EGR3,EGR2,43.0672,5821,7171
132,EGR3,WT1,19.3487,5821,47789
133,EGR3,EGR1,34.9908,5821,3824
134,EGR3,EGR4,24.4856,5821,2772
135,NFKB1,REL,28.2794,115972,50121
136,NFKB1,NFKB2,42.7778,115972,8414
137,NFKB1,RELA,27.9492,115972,9491
138,NFKB1,RELB,26.0794,115972,36731
139,NFKB2,REL,26.7462,8414,50121
140,NFKB2,NFKB1,39.7317,8414,115972
141,NFKB2,RELA,28.3122,8414,9491
142,NFKB2,RELB,27.4611,8414,36731
143,RELA,REL,35.6048,9491,50121
144,RELA,NFKB2,17.3333,9491,8414
145,RELA,NFKB1,15.8927,9491,115972
146,RELA,RELB,30.7427,9491,36731
147,NFATC1,NFAT5,13.7508,133469,139572
148,NFATC1,NFATC2,39.9566,133469,175874
149,NFATC1,NFATC3,34.6047,133469,144508
150,NFATC1,NFATC4,34.3681,133469,13931
151,NFAT5,NFATC2,23.8871,139572,175874
152,NFAT5,NFATC3,22.9767,139572,144508
153,NFAT5,NFATC4,19.9557,139572,13931
154,NFAT5,NFATC1,22.5875,139572,133469
155,NR4A1,NR4A2,55.0167,36675,17911
156,NR4A1,NR4A3,45.8466,36675,45036
157,RUNX2,RUNX1,65.4167,336192,1216866
158,RUNX2,RUNX3,65.3012,336192,65610
159,ZAP70,JAK3,12.6335,26286,23291
160,ZAP70,FGR,25.8979,26286,23121
161,ZAP70,FRK,27.9208,26286,129742
162,ZAP70,JAK1,12.1317,26286,234531
163,ZAP70,SRC,27.7985,26286,61365
164,ZAP70,TEC,22.0285,26286,134055
165,ZAP70,FER,17.8832,26286,449000
166,ZAP70,LYN,27.1484,26286,134334
167,ZAP70,FYN,27.933,26286,213120
168,ZAP70,TYK2,11.9629,26286,30075
169,ZAP70,TXK,24.4782,26286,67857
170,ZAP70,BMX,19.4074,26286,92283
171,ZAP70,STYK1,23.4597,26286,55395
172,ZAP70,PTK6,30.3769,26286,9375
173,ZAP70,HCK,26.2357,26286,49659
174,ZAP70,FES,17.2749,26286,12081
175,ZAP70,PTK2,15.7847,26286,344316
176,ZAP70,ABL1,13.2743,26286,174632
177,ZAP70,ABL2,12.9442,26286,130354
178,ZAP70,BTK,20.3338,26286,41458
179,ZAP70,CSK,31.7778,26286,21117
180,ZAP70,TNK1,14.826,26286,9240
181,ZAP70,LCK,28.8802,26286,34921
182,ZAP70,BLK,28.5149,26286,77705
183,ZAP70,SRMS,29.5082,26286,9260
184,ZAP70,SYK,53.3858,26286,96762
185,ZAP70,PTK2B,16.0555,26286,147909
186,ZAP70,JAK2,12.0141,26286,145558
187,ZAP70,ITK,22.2581,26286,112252
188,ZAP70,MATK,26.43,26286,24159
189,ZAP70,YES1,26.3352,26286,90958
190,ZAP70,TNK2,11.3744,26286,48581
191,EGR4,EGR2,26.0504,2772,7171
192,EGR4,WT1,16.2835,2772,47789
193,EGR4,EGR1,22.2836,2772,3824
194,EGR4,EGR3,30.7494,2772,5821
