,Gene,Paralog,Perc_ID,ko_length,paralog_length
0,TFAM,HMG20B,7.88644,13875,6311
1,TFAM,HMGB3,25.5,13875,10262
2,TFAM,HMGB4,19.8925,13875,4316
3,TFAM,HMGB2,21.5311,13875,3056
4,TFAM,UBTFL1,6.61578,13875,1181
5,TFAM,TOX,5.51331,13875,313735
6,TFAM,TOX2,6.52174,13875,154764
7,TFAM,SP100,4.0678,13875,129664
8,TFAM,TOX3,5.38194,13875,111385
9,TFAM,SP140L,3.96552,13875,76548
10,TFAM,HMGB1P1,21.8009,13875,7407
11,TFAM,HMGB1,22.7907,13875,160893
12,TFAM,HMGXB4,7.15474,13875,38355
13,TFAM,UBTF,4.45026,13875,16593
14,TFAM,SMARCE1,6.32603,13875,23692
15,TFAM,SP110,3.78682,13875,60543
16,TFAM,SP140,3.22953,13875,110105
17,TFAM,SSRP1,3.24401,13875,9906
18,TFAM,HMG20A,6.34006,13875,65195
19,TFAM,TOX4,5.31401,13875,22578
